Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130413/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,0.88
Liftedindex,0.27
LIFTcomputedusingvirtualtemperature,0.20
SWEATindex,196.59
Kindex,33.70
Crosstotalsindex,22.70
Verticaltotalsindex,22.90
Totalstotalsindex,45.60
ConvectiveAvailablePotentialEnergy,4.12
CAPEusingvirtualtemperature,6.50
ConvectiveInhibition,-15.82
CINSusingvirtualtemperature,-12.68
EquilibrumLevel,835.98
EquilibrumLevelusingvirtualtemperature,833.79
LevelofFreeConvection,887.30
LFCTusingvirtualtemperature,894.26
BulkRichardsonNumber,0.15
BulkRichardsonNumberusingCAPV,0.23
Temp[K]oftheLiftedCondensationLevel,290.61
Pres[hPa]oftheLiftedCondensationLevel,972.01
Meanmixedlayerpotentialtemperature,292.99
Meanmixedlayermixingratio,13.10
1000hPato500hPathickness,5668.00
Precipitablewater[mm]forentiresounding,45.94
