Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100215/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.44
Liftedindex,-1.37
LIFTcomputedusingvirtualtemperature,-1.68
SWEATindex,193.79
Kindex,34.60
Crosstotalsindex,17.10
Verticaltotalsindex,25.10
Totalstotalsindex,42.20
ConvectiveAvailablePotentialEnergy,80.76
CAPEusingvirtualtemperature,137.72
ConvectiveInhibition,-132.32
CINSusingvirtualtemperature,-98.03
EquilibrumLevel,413.19
EquilibrumLevelusingvirtualtemperature,357.86
LevelofFreeConvection,722.22
LFCTusingvirtualtemperature,738.49
BulkRichardsonNumber,4.50
BulkRichardsonNumberusingCAPV,7.67
Temp[K]oftheLiftedCondensationLevel,292.93
Pres[hPa]oftheLiftedCondensationLevel,924.15
Meanmixedlayerpotentialtemperature,299.63
Meanmixedlayermixingratio,16.26
1000hPato500hPathickness,5787.00
Precipitablewater[mm]forentiresounding,52.70
