PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,5,26.0,17.0,58,12.19,355,10,298.1,333.8,300.3
1000.0,105,24.4,16.4,61,11.87,330,14,297.6,332.2,299.7
993.0,167,23.4,16.1,64,11.74,320,15,297.2,331.4,299.3
990.0,193,23.0,16.0,65,11.68,319,15,297.0,331.0,299.1
926.0,772,17.9,14.2,79,11.13,295,18,297.5,330.0,299.5
925.0,781,17.8,14.2,79,11.12,295,18,297.5,330.0,299.5
869.0,1312,13.7,12.2,91,10.38,290,24,298.5,329.0,300.4
858.0,1420,12.8,11.8,94,10.23,293,26,298.7,328.8,300.6
854.0,1459,14.4,10.8,79,9.61,294,27,300.8,329.4,302.6
850.0,1499,14.2,10.5,78,9.46,295,28,301.0,329.2,302.7
810.0,1905,12.0,6.7,70,7.64,310,23,302.9,326.0,304.3
795.0,2062,11.2,5.2,67,7.02,305,25,303.6,325.0,304.9
700.0,3109,2.4,-1.7,74,4.85,270,39,305.1,320.2,306.0
693.0,3190,1.8,-2.2,75,4.71,270,40,305.3,319.9,306.1
687.0,3261,1.2,-2.7,75,4.59,271,40,305.4,319.7,306.3
682.0,3319,1.4,-7.6,51,3.18,272,39,306.3,316.4,306.9
675.0,3403,1.2,-10.8,40,2.50,274,39,307.0,315.1,307.4
663.0,3547,2.2,-27.8,9,0.59,277,38,309.7,311.8,309.8
585.0,4533,-4.9,-30.7,11,0.51,295,32,312.7,314.6,312.8
520.0,5461,-11.5,-33.5,14,0.44,295,34,315.4,317.0,315.5
500.0,5760,-14.1,-31.1,22,0.57,295,35,315.8,317.9,315.9
476.0,6130,-17.3,-30.3,31,0.65,293,37,316.3,318.7,316.4
418.0,7090,-23.3,-48.3,8,0.12,287,41,320.6,321.0,320.6
400.0,7410,-25.9,-47.9,11,0.13,285,42,321.2,321.8,321.3
393.0,7537,-26.9,-48.9,11,0.11,283,42,321.6,322.0,321.6
392.0,7556,-26.9,-49.9,9,0.10,283,42,321.8,322.2,321.8
380.0,7773,-28.8,-51.0,10,0.09,280,43,322.2,322.6,322.2
310.0,9198,-40.9,-57.9,14,0.05,289,45,324.6,324.8,324.6
303.0,9353,-42.3,-52.3,33,0.10,290,45,324.7,325.1,324.7
300.0,9420,-42.9,-51.9,37,0.11,290,45,324.8,325.2,324.8
289.0,9670,-45.3,-52.3,45,0.10,290,45,324.9,325.3,324.9
278.0,9927,-47.3,-58.3,27,0.05,290,49,325.6,325.8,325.6
272.0,10071,-48.3,-55.3,44,0.08,290,51,326.2,326.5,326.2
250.0,10620,-52.3,-61.3,33,0.04,290,59,328.2,328.4,328.2
235.0,11020,-54.9,-63.9,32,0.03,288,64,330.1,330.2,330.1
212.0,11677,-57.5,-70.5,18,0.01,285,73,335.9,336.0,335.9
209.0,11768,-54.7,-70.7,12,0.01,285,76,341.7,341.7,341.7
206.0,11861,-55.0,-72.7,9,0.01,285,79,342.6,342.6,342.6
200.0,12050,-55.7,-76.7,6,0.01,285,78,344.4,344.4,344.4
180.0,12717,-56.1,-80.9,3,0.00,295,66,354.3,354.3,354.3
171.0,13042,-56.3,-82.9,2,0.00,300,73,359.2,359.2,359.2
164.0,13307,-56.4,-84.5,2,0.00,295,81,363.3,363.3,363.3
160.0,13463,-56.5,-85.5,1,0.00,291,78,365.7,365.7,365.7
150.0,13870,-57.9,-87.9,1,0.00,280,70,370.1,370.1,370.1
148.0,13954,-58.5,-88.2,1,0.00,280,69,370.6,370.6,370.6
143.0,14170,-59.9,-88.9,1,0.00,281,66,371.7,371.7,371.7
118.0,15356,-63.6,-89.1,2,0.00,285,47,385.9,385.9,385.9
115.0,15515,-64.1,-89.1,2,0.00,280,48,387.8,387.8,387.8
100.0,16370,-64.1,-89.2,2,0.00,270,28,403.6,403.6,403.6
92.0,16879,-65.6,-89.3,2,0.00,300,22,410.5,410.5,410.5
90.2,17000,-65.9,-89.3,3,0.00,291,22,412.1,412.1,412.1
87.0,17222,-65.2,-89.4,2,0.00,275,23,417.8,417.8,417.8
85.0,17365,-64.7,-89.4,2,0.00,280,17,421.5,421.5,421.5
81.0,17661,-63.8,-89.4,2,0.00,325,15,429.3,429.3,429.3
80.0,17738,-63.5,-89.5,2,0.00,335,17,431.3,431.3,431.3
75.0,18134,-62.3,-89.5,2,0.00,320,12,442.0,442.0,442.0
72.8,18317,-61.7,-89.5,1,0.00,277,8,447.0,447.0,447.0
70.0,18560,-62.7,-89.6,2,0.00,220,2,449.9,449.9,449.9
67.2,18810,-63.3,-89.6,2,0.00,176,5,453.9,453.9,453.9
62.0,19309,-62.1,-89.7,1,0.00,90,10,467.1,467.1,467.1
60.0,19512,-61.6,-89.7,1,0.00,60,14,472.6,472.6,472.6
52.0,20397,-59.5,-89.9,1,0.00,70,20,497.3,497.3,497.3
50.0,20640,-58.9,-89.9,1,0.00,55,19,504.2,504.3,504.2
49.0,20768,-58.7,-89.8,1,0.00,45,21,507.6,507.6,507.6
47.0,21032,-58.4,-89.6,1,0.00,50,20,514.5,514.5,514.5
46.0,21169,-58.2,-89.5,1,0.00,85,14,518.1,518.2,518.1
42.0,21746,-57.4,-89.1,1,0.00,65,20,533.7,533.8,533.7
39.0,22216,-56.8,-88.7,1,0.00,80,23,546.8,546.8,546.8
36.0,22724,-56.1,-88.4,1,0.00,70,20,561.2,561.2,561.2
31.0,23672,-54.8,-87.7,1,0.01,100,30,589.1,589.2,589.1
30.0,23880,-54.5,-87.5,1,0.01,100,29,595.5,595.5,595.5
29.0,24099,-54.1,-87.2,1,0.01,105,27,602.4,602.5,602.4
22.0,25884,-50.7,-84.4,1,0.01,85,52,662.0,662.2,662.0
20.0,26500,-49.5,-83.5,1,0.02,80,41,683.9,684.1,683.9
19.3,26733,-49.1,-83.1,1,0.02,81,42,692.1,692.4,692.1
17.8,27261,-51.3,-84.3,1,0.02,82,43,701.4,701.6,701.4
14.0,28836,-47.1,-82.0,1,0.03,85,47,765.2,765.6,765.2
13.8,28931,-46.9,-81.9,1,0.04,,,769.2,769.6,769.2
