Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160828/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,14.06
Liftedindex,12.41
LIFTcomputedusingvirtualtemperature,12.41
SWEATindex,49.01
Kindex,-20.30
Crosstotalsindex,7.50
Verticaltotalsindex,20.50
Totalstotalsindex,28.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,274.85
Pres[hPa]oftheLiftedCondensationLevel,844.95
Meanmixedlayerpotentialtemperature,288.41
Meanmixedlayermixingratio,5.17
1000hPato500hPathickness,5547.00
Precipitablewater[mm]forentiresounding,11.03
