Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160619/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.20
Liftedindex,-0.08
LIFTcomputedusingvirtualtemperature,-0.23
SWEATindex,219.00
Kindex,32.80
Crosstotalsindex,22.60
Verticaltotalsindex,22.70
Totalstotalsindex,45.30
ConvectiveAvailablePotentialEnergy,44.94
CAPEusingvirtualtemperature,76.26
ConvectiveInhibition,-3.48
CINSusingvirtualtemperature,-2.22
EquilibrumLevel,446.15
EquilibrumLevelusingvirtualtemperature,443.68
LevelofFreeConvection,926.53
LFCTusingvirtualtemperature,931.10
BulkRichardsonNumber,1.24
BulkRichardsonNumberusingCAPV,2.10
Temp[K]oftheLiftedCondensationLevel,289.55
Pres[hPa]oftheLiftedCondensationLevel,943.02
Meanmixedlayerpotentialtemperature,294.46
Meanmixedlayermixingratio,12.61
1000hPato500hPathickness,5667.00
Precipitablewater[mm]forentiresounding,38.67
