Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141103/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.34
Liftedindex,2.52
LIFTcomputedusingvirtualtemperature,2.19
SWEATindex,147.79
Kindex,-16.00
Crosstotalsindex,21.60
Verticaltotalsindex,22.10
Totalstotalsindex,43.70
ConvectiveAvailablePotentialEnergy,9.35
CAPEusingvirtualtemperature,19.65
ConvectiveInhibition,-4.63
CINSusingvirtualtemperature,-2.04
EquilibrumLevel,730.34
EquilibrumLevelusingvirtualtemperature,723.72
LevelofFreeConvection,891.59
LFCTusingvirtualtemperature,897.07
BulkRichardsonNumber,0.22
BulkRichardsonNumberusingCAPV,0.46
Temp[K]oftheLiftedCondensationLevel,285.50
Pres[hPa]oftheLiftedCondensationLevel,908.53
Meanmixedlayerpotentialtemperature,293.44
Meanmixedlayermixingratio,10.03
1000hPato500hPathickness,5619.00
Precipitablewater[mm]forentiresounding,26.22
