Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130731/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.44
Liftedindex,4.42
LIFTcomputedusingvirtualtemperature,4.23
SWEATindex,256.89
Kindex,23.50
Crosstotalsindex,20.30
Verticaltotalsindex,25.30
Totalstotalsindex,45.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.68
Pres[hPa]oftheLiftedCondensationLevel,915.85
Meanmixedlayerpotentialtemperature,288.86
Meanmixedlayermixingratio,7.69
1000hPato500hPathickness,5533.00
Precipitablewater[mm]forentiresounding,19.56
