Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100509/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.45
Liftedindex,3.11
LIFTcomputedusingvirtualtemperature,2.84
SWEATindex,87.20
Kindex,0.90
Crosstotalsindex,18.30
Verticaltotalsindex,24.30
Totalstotalsindex,42.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,284.33
Pres[hPa]oftheLiftedCondensationLevel,917.97
Meanmixedlayerpotentialtemperature,291.39
Meanmixedlayermixingratio,9.18
1000hPato500hPathickness,5596.00
Precipitablewater[mm]forentiresounding,20.10
