Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110617/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,10.64
Liftedindex,10.82
LIFTcomputedusingvirtualtemperature,10.66
SWEATindex,208.50
Kindex,-28.30
Crosstotalsindex,11.90
Verticaltotalsindex,21.90
Totalstotalsindex,33.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,278.32
Pres[hPa]oftheLiftedCondensationLevel,874.16
Meanmixedlayerpotentialtemperature,289.23
Meanmixedlayermixingratio,6.38
1000hPato500hPathickness,5590.00
Precipitablewater[mm]forentiresounding,13.82
