Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120815/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,12.56
Liftedindex,10.42
LIFTcomputedusingvirtualtemperature,10.30
SWEATindex,78.01
Kindex,-28.30
Crosstotalsindex,8.90
Verticaltotalsindex,21.90
Totalstotalsindex,30.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,275.82
Pres[hPa]oftheLiftedCondensationLevel,847.68
Meanmixedlayerpotentialtemperature,289.17
Meanmixedlayermixingratio,5.57
1000hPato500hPathickness,5550.00
Precipitablewater[mm]forentiresounding,9.51
