Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130321/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.45
Liftedindex,3.28
LIFTcomputedusingvirtualtemperature,2.96
SWEATindex,140.42
Kindex,25.30
Crosstotalsindex,16.10
Verticaltotalsindex,20.10
Totalstotalsindex,36.20
ConvectiveAvailablePotentialEnergy,2.81
CAPEusingvirtualtemperature,10.35
ConvectiveInhibition,-6.97
CINSusingvirtualtemperature,-2.67
EquilibrumLevel,834.19
EquilibrumLevelusingvirtualtemperature,826.26
LevelofFreeConvection,870.51
LFCTusingvirtualtemperature,886.57
BulkRichardsonNumber,0.09
BulkRichardsonNumberusingCAPV,0.34
Temp[K]oftheLiftedCondensationLevel,287.13
Pres[hPa]oftheLiftedCondensationLevel,902.72
Meanmixedlayerpotentialtemperature,295.66
Meanmixedlayermixingratio,11.26
1000hPato500hPathickness,5679.00
Precipitablewater[mm]forentiresounding,34.86
