Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141204/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.43
Liftedindex,1.76
LIFTcomputedusingvirtualtemperature,1.35
SWEATindex,148.81
Kindex,21.60
Crosstotalsindex,19.40
Verticaltotalsindex,21.70
Totalstotalsindex,41.10
ConvectiveAvailablePotentialEnergy,1.48
CAPEusingvirtualtemperature,8.85
ConvectiveInhibition,-174.19
CINSusingvirtualtemperature,-121.58
EquilibrumLevel,647.51
EquilibrumLevelusingvirtualtemperature,630.94
LevelofFreeConvection,669.04
LFCTusingvirtualtemperature,686.70
BulkRichardsonNumber,0.12
BulkRichardsonNumberusingCAPV,0.69
Temp[K]oftheLiftedCondensationLevel,287.82
Pres[hPa]oftheLiftedCondensationLevel,890.81
Meanmixedlayerpotentialtemperature,297.50
Meanmixedlayermixingratio,11.95
1000hPato500hPathickness,5695.00
Precipitablewater[mm]forentiresounding,33.01
