Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151124/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,-1.37
Liftedindex,-1.18
LIFTcomputedusingvirtualtemperature,-1.73
SWEATindex,199.01
Kindex,29.10
Crosstotalsindex,22.50
Verticaltotalsindex,26.10
Totalstotalsindex,48.60
ConvectiveAvailablePotentialEnergy,197.60
CAPEusingvirtualtemperature,323.77
ConvectiveInhibition,-216.15
CINSusingvirtualtemperature,-179.24
EquilibrumLevel,279.11
EquilibrumLevelusingvirtualtemperature,277.62
LevelofFreeConvection,693.63
LFCTusingvirtualtemperature,708.06
BulkRichardsonNumber,5.13
BulkRichardsonNumberusingCAPV,8.41
Temp[K]oftheLiftedCondensationLevel,289.78
Pres[hPa]oftheLiftedCondensationLevel,908.30
Meanmixedlayerpotentialtemperature,297.87
Meanmixedlayermixingratio,13.30
1000hPato500hPathickness,5713.00
Precipitablewater[mm]forentiresounding,34.56
