Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111221/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.59
Liftedindex,2.09
LIFTcomputedusingvirtualtemperature,1.60
SWEATindex,111.40
Kindex,21.70
Crosstotalsindex,15.50
Verticaltotalsindex,22.50
Totalstotalsindex,38.00
ConvectiveAvailablePotentialEnergy,11.88
CAPEusingvirtualtemperature,21.07
ConvectiveInhibition,-85.60
CINSusingvirtualtemperature,-52.68
EquilibrumLevel,399.10
EquilibrumLevelusingvirtualtemperature,398.41
LevelofFreeConvection,674.53
LFCTusingvirtualtemperature,684.04
BulkRichardsonNumber,1.87
BulkRichardsonNumberusingCAPV,3.31
Temp[K]oftheLiftedCondensationLevel,287.29
Pres[hPa]oftheLiftedCondensationLevel,895.02
Meanmixedlayerpotentialtemperature,296.56
Meanmixedlayermixingratio,11.47
1000hPato500hPathickness,5677.00
Precipitablewater[mm]forentiresounding,32.59
