Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160107/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.38
Liftedindex,5.51
LIFTcomputedusingvirtualtemperature,5.07
SWEATindex,185.59
Kindex,22.60
Crosstotalsindex,17.40
Verticaltotalsindex,20.30
Totalstotalsindex,37.70
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.54
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-141.54
EquilibrumLevelusingvirtualtemperature,689.04
LFCTusingvirtualtemperature,702.22
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.01
Temp[K]oftheLiftedCondensationLevel,284.56
Pres[hPa]oftheLiftedCondensationLevel,851.98
Meanmixedlayerpotentialtemperature,297.90
Meanmixedlayermixingratio,10.05
1000hPato500hPathickness,5708.00
Precipitablewater[mm]forentiresounding,26.14
