Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100727/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.04
Liftedindex,5.11
LIFTcomputedusingvirtualtemperature,4.90
SWEATindex,109.41
Kindex,23.70
Crosstotalsindex,21.30
Verticaltotalsindex,22.50
Totalstotalsindex,43.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,282.84
Pres[hPa]oftheLiftedCondensationLevel,931.19
Meanmixedlayerpotentialtemperature,288.67
Meanmixedlayermixingratio,8.17
1000hPato500hPathickness,5541.00
Precipitablewater[mm]forentiresounding,24.65
