Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160205/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.60
Liftedindex,4.75
LIFTcomputedusingvirtualtemperature,4.85
SWEATindex,355.16
Kindex,27.80
Crosstotalsindex,17.60
Verticaltotalsindex,18.50
Totalstotalsindex,36.10
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,289.68
Pres[hPa]oftheLiftedCondensationLevel,910.89
Meanmixedlayerpotentialtemperature,297.52
Meanmixedlayermixingratio,13.17
1000hPato500hPathickness,5750.00
Precipitablewater[mm]forentiresounding,52.95
