Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120630/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.25
Liftedindex,7.49
LIFTcomputedusingvirtualtemperature,7.29
SWEATindex,94.19
Kindex,-14.80
Crosstotalsindex,17.00
Verticaltotalsindex,21.10
Totalstotalsindex,38.10
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.24
Pres[hPa]oftheLiftedCondensationLevel,899.67
Meanmixedlayerpotentialtemperature,289.88
Meanmixedlayermixingratio,7.64
1000hPato500hPathickness,5594.00
Precipitablewater[mm]forentiresounding,14.37
