PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1022.0,5,23.4,9.4,41,7.29,115,9,294.7,316.1,296.0
1009.0,118,20.4,8.4,46,6.90,115,10,292.8,312.9,294.0
1000.0,196,19.6,8.6,49,7.06,115,11,292.8,313.3,294.0
925.0,859,13.2,5.2,58,6.03,115,6,292.8,310.4,293.9
870.0,1369,8.7,3.6,70,5.73,120,10,293.3,310.1,294.3
850.0,1563,7.0,3.0,76,5.62,120,9,293.5,310.0,294.5
811.0,1947,3.4,1.2,86,5.17,132,10,293.6,308.9,294.5
805.0,2007,4.0,-3.0,60,3.83,134,10,294.9,306.4,295.6
798.0,2079,7.2,-22.8,10,0.77,137,10,299.0,301.6,299.2
791.0,2151,7.6,-29.4,5,0.43,139,10,300.2,301.7,300.3
788.0,2183,7.6,-30.9,4,0.37,140,10,300.6,301.9,300.6
768.0,2394,7.8,-41.2,2,0.14,123,12,303.0,303.5,303.0
764.0,2437,7.5,-40.9,2,0.14,120,13,303.1,303.6,303.1
724.0,2875,4.6,-38.0,3,0.20,135,10,304.6,305.4,304.7
700.0,3150,2.8,-36.2,4,0.25,170,10,305.6,306.5,305.6
698.0,3173,2.6,-37.0,3,0.23,170,10,305.6,306.5,305.6
691.0,3254,2.0,-40.0,3,0.17,174,10,305.8,306.4,305.8
685.0,3325,2.8,-46.2,1,0.09,178,10,307.4,307.8,307.5
674.0,3455,2.5,-46.2,1,0.09,185,10,308.6,308.9,308.6
641.0,3859,1.6,-46.4,1,0.09,221,8,312.0,312.4,312.0
542.0,5182,-9.1,-33.1,12,0.44,340,1,314.6,316.2,314.6
527.0,5397,-10.5,-40.2,7,0.22,0,0,315.4,316.2,315.4
503.0,5754,-12.9,-51.9,2,0.06,236,3,316.7,317.0,316.7
500.0,5800,-13.3,-53.3,2,0.05,220,3,316.8,317.0,316.8
459.0,6441,-18.5,-52.5,3,0.06,295,10,318.1,318.4,318.1
427.0,6983,-22.9,-51.9,5,0.07,286,14,319.1,319.4,319.1
420.0,7104,-23.7,-43.7,14,0.19,284,15,319.6,320.4,319.6
406.0,7351,-25.2,-50.1,8,0.10,280,17,320.8,321.1,320.8
400.0,7460,-25.9,-52.9,6,0.07,290,17,321.2,321.5,321.3
399.0,7478,-25.9,-52.9,6,0.07,290,17,321.5,321.8,321.5
384.0,7755,-27.1,-39.1,31,0.34,298,19,323.4,324.7,323.5
369.0,8039,-29.9,-38.7,42,0.37,305,21,323.4,324.8,323.4
361.0,8195,-31.5,-38.5,50,0.38,301,22,323.3,324.8,323.4
354.0,8334,-32.3,-37.3,61,0.44,297,23,324.0,325.7,324.1
340.0,8616,-34.3,-39.0,63,0.39,290,24,325.1,326.6,325.2
329.0,8846,-35.9,-40.3,64,0.35,284,28,325.9,327.3,326.0
322.0,8994,-37.0,-41.6,63,0.31,280,31,326.4,327.6,326.5
300.0,9480,-40.7,-45.7,58,0.21,280,41,327.9,328.8,327.9
281.0,9920,-44.7,-50.7,51,0.13,277,50,328.3,328.9,328.4
267.0,10259,-46.9,-51.8,57,0.12,275,57,329.9,330.4,330.0
264.0,10333,-47.5,-54.7,43,0.09,275,59,330.1,330.5,330.2
254.0,10587,-49.5,-64.5,16,0.03,271,58,330.8,331.0,330.8
250.0,10690,-50.1,-66.1,13,0.02,270,58,331.4,331.6,331.5
240.0,10956,-52.3,-66.5,16,0.02,270,62,332.1,332.2,332.1
239.0,10983,-52.5,-66.5,17,0.02,270,62,332.1,332.2,332.1
230.0,11233,-48.7,-75.7,3,0.01,268,59,341.6,341.6,341.6
221.0,11495,-49.2,-78.2,2,0.00,265,55,344.7,344.7,344.7
214.0,11706,-49.6,-80.2,2,0.00,275,47,347.2,347.3,347.2
200.0,12150,-50.5,-84.5,1,0.00,280,60,352.6,352.6,352.6
199.0,12183,-50.6,-84.6,1,0.00,280,61,353.0,353.0,353.0
192.0,12416,-51.1,-85.1,1,0.00,284,60,355.8,355.8,355.8
