Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120316/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.04
Liftedindex,-0.50
LIFTcomputedusingvirtualtemperature,-0.73
SWEATindex,159.61
Kindex,20.20
Crosstotalsindex,20.60
Verticaltotalsindex,22.90
Totalstotalsindex,43.50
ConvectiveAvailablePotentialEnergy,12.90
CAPEusingvirtualtemperature,46.41
ConvectiveInhibition,-10.50
CINSusingvirtualtemperature,-4.88
EquilibrumLevel,479.71
EquilibrumLevelusingvirtualtemperature,478.40
LevelofFreeConvection,863.64
LFCTusingvirtualtemperature,875.19
BulkRichardsonNumber,1.67
BulkRichardsonNumberusingCAPV,6.02
Temp[K]oftheLiftedCondensationLevel,289.23
Pres[hPa]oftheLiftedCondensationLevel,902.23
Meanmixedlayerpotentialtemperature,297.86
Meanmixedlayermixingratio,12.92
1000hPato500hPathickness,5710.00
Precipitablewater[mm]forentiresounding,36.09
