Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110718/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,12.93
Liftedindex,10.67
LIFTcomputedusingvirtualtemperature,10.51
SWEATindex,81.99
Kindex,-20.50
Crosstotalsindex,9.30
Verticaltotalsindex,20.30
Totalstotalsindex,29.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.63
Pres[hPa]oftheLiftedCondensationLevel,926.14
Meanmixedlayerpotentialtemperature,287.89
Meanmixedlayermixingratio,7.59
1000hPato500hPathickness,5576.00
Precipitablewater[mm]forentiresounding,15.30
