Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121029/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.42
Liftedindex,5.34
LIFTcomputedusingvirtualtemperature,5.46
SWEATindex,102.82
Kindex,22.50
Crosstotalsindex,19.00
Verticaltotalsindex,20.30
Totalstotalsindex,39.30
ConvectiveAvailablePotentialEnergy,16.62
CAPEusingvirtualtemperature,21.74
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
EquilibrumLevel,817.90
EquilibrumLevelusingvirtualtemperature,815.89
LevelofFreeConvection,895.78
LFCTusingvirtualtemperature,895.78
BulkRichardsonNumber,0.76
BulkRichardsonNumberusingCAPV,1.00
Temp[K]oftheLiftedCondensationLevel,282.28
Pres[hPa]oftheLiftedCondensationLevel,895.78
Meanmixedlayerpotentialtemperature,291.31
Meanmixedlayermixingratio,8.19
1000hPato500hPathickness,5592.00
Precipitablewater[mm]forentiresounding,30.70
