Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130505/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.68
Liftedindex,2.76
LIFTcomputedusingvirtualtemperature,2.48
SWEATindex,146.80
Kindex,19.60
Crosstotalsindex,20.00
Verticaltotalsindex,21.70
Totalstotalsindex,41.70
ConvectiveAvailablePotentialEnergy,14.86
CAPEusingvirtualtemperature,38.13
ConvectiveInhibition,-5.99
CINSusingvirtualtemperature,-3.46
EquilibrumLevel,651.01
EquilibrumLevelusingvirtualtemperature,646.70
LevelofFreeConvection,893.29
LFCTusingvirtualtemperature,902.71
BulkRichardsonNumber,0.30
BulkRichardsonNumberusingCAPV,0.78
Temp[K]oftheLiftedCondensationLevel,286.66
Pres[hPa]oftheLiftedCondensationLevel,929.74
Meanmixedlayerpotentialtemperature,292.69
Meanmixedlayermixingratio,10.58
1000hPato500hPathickness,5616.00
Precipitablewater[mm]forentiresounding,27.43
