Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110421/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.80
Liftedindex,0.47
LIFTcomputedusingvirtualtemperature,-0.10
SWEATindex,45.25
Kindex,19.20
Crosstotalsindex,9.10
Verticaltotalsindex,24.10
Totalstotalsindex,33.20
ConvectiveAvailablePotentialEnergy,58.51
CAPEusingvirtualtemperature,115.54
ConvectiveInhibition,-36.51
CINSusingvirtualtemperature,-7.84
EquilibrumLevel,524.29
EquilibrumLevelusingvirtualtemperature,498.44
LevelofFreeConvection,789.33
LFCTusingvirtualtemperature,839.42
BulkRichardsonNumber,2.79
BulkRichardsonNumberusingCAPV,5.52
Temp[K]oftheLiftedCondensationLevel,289.74
Pres[hPa]oftheLiftedCondensationLevel,929.22
Meanmixedlayerpotentialtemperature,295.90
Meanmixedlayermixingratio,12.96
1000hPato500hPathickness,5677.00
Precipitablewater[mm]forentiresounding,34.65
