Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130218/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.49
Liftedindex,-1.09
LIFTcomputedusingvirtualtemperature,-1.30
SWEATindex,180.60
Kindex,30.40
Crosstotalsindex,19.70
Verticaltotalsindex,22.30
Totalstotalsindex,42.00
ConvectiveAvailablePotentialEnergy,198.27
CAPEusingvirtualtemperature,252.84
ConvectiveInhibition,-6.72
CINSusingvirtualtemperature,-4.61
EquilibrumLevel,403.08
EquilibrumLevelusingvirtualtemperature,401.84
LevelofFreeConvection,906.92
LFCTusingvirtualtemperature,912.72
BulkRichardsonNumber,7.71
BulkRichardsonNumberusingCAPV,9.83
Temp[K]oftheLiftedCondensationLevel,290.21
Pres[hPa]oftheLiftedCondensationLevel,926.33
Meanmixedlayerpotentialtemperature,296.65
Meanmixedlayermixingratio,13.41
1000hPato500hPathickness,5676.00
Precipitablewater[mm]forentiresounding,45.88
