Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121126/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.85
Liftedindex,1.86
LIFTcomputedusingvirtualtemperature,1.54
SWEATindex,119.22
Kindex,7.30
Crosstotalsindex,17.70
Verticaltotalsindex,23.70
Totalstotalsindex,41.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-16.19
EquilibrumLevelusingvirtualtemperature,856.37
LFCTusingvirtualtemperature,860.96
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.35
Pres[hPa]oftheLiftedCondensationLevel,896.10
Meanmixedlayerpotentialtemperature,295.48
Meanmixedlayermixingratio,10.76
1000hPato500hPathickness,5676.00
Precipitablewater[mm]forentiresounding,25.34
