Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150830/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.27
Liftedindex,6.33
LIFTcomputedusingvirtualtemperature,6.18
SWEATindex,121.61
Kindex,25.50
Crosstotalsindex,21.90
Verticaltotalsindex,25.70
Totalstotalsindex,47.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.36
Pres[hPa]oftheLiftedCondensationLevel,862.39
Meanmixedlayerpotentialtemperature,289.36
Meanmixedlayermixingratio,6.04
1000hPato500hPathickness,5530.00
Precipitablewater[mm]forentiresounding,17.64
