Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100607/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,11.53
Liftedindex,15.75
LIFTcomputedusingvirtualtemperature,15.69
SWEATindex,264.69
Kindex,5.80
Crosstotalsindex,13.60
Verticaltotalsindex,18.10
Totalstotalsindex,31.70
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,276.24
Pres[hPa]oftheLiftedCondensationLevel,869.36
Meanmixedlayerpotentialtemperature,287.53
Meanmixedlayermixingratio,5.55
1000hPato500hPathickness,5558.00
Precipitablewater[mm]forentiresounding,18.56
